-2.4846,-8.3684,-2.5407
9.3268,9.9609,-5.0309
7.9127,10.0631,2.2159
6.3086,2.7523,3.226
-7.0311,7.6408,4.8424
-2.1736,-2.9365,8.1962
6.9281,8.8314,3.1247
-4.2163,-1.9907,8.1754
-2.4569,-1.5545,6.841
-1.842,-11.5116,-1.5689
-6.4112,3.87,-3.8616
5.5341,-3.4176,-5.3485
3.1269,3.1296,-4.8951
4.1213,-2.0692,-3.8813
4.1864,-3.0005,-3.8682
-7.4303,7.4633,4.2948
-8.2637,-3.8102,1.3546
1.2036,-9.4828,5.0452
-2.4325,-10.2685,0.8642
0.2558,-11.3869,5.7524
7.1884,7.5167,-10.2171
9.1687,8.8255,2.9218
8.4093,8.759,-6.4248
-0.7002,-10.8522,5.5815
6.97,2.9513,4.2345
-6.1934,4.3187,0.3098
6.4756,9.041,-11.0712
9.3263,7.9292,2.7997
9.7138,9.0438,-7.8093
9.0298,9.8366,-5.1127
-0.4219,0.0544,8.3048
-6.781,8.0646,4.7178
-9.2114,-3.8254,2.9822
9.2197,9.1521,2.2213
0.825,-10.0787,3.2852
-7.6667,6.8958,-0.6109
8.3141,3.7656,3.3308
0.7175,-9.2097,5.7626
-7.0019,5.5886,-0.5709
-2.5735,-10.4809,5.0151
8.4826,8.1894,1.6207
7.4635,9.5625,2.0314
6.1739,-5.5737,-2.8832
-3.6615,-2.4227,6.6234
-7.5038,8.9903,8.5191
-6.9876,8.6982,-1.4246
-1.2105,-10.2215,7.2917
1.4188,-11.2641,5.1209
5.2,2.7382,4.539
4.1949,-3.3408,-3.8862
7.0124,3.4424,4.3357
-6.1769,5.7973,-1.5188
-10.0385,-3.4754,-0.1859
-4.8098,8.3373,6.7193
-2.8045,-9.4919,-1.2071
-5.8824,5.0876,-1.926
5.9349,8.4049,2.1504
8.7418,10.8621,-6.5248
8.9965,10.6169,-6.1259
-8.0958,-4.189,1.7005
9.7801,7.6937,-5.5072
-1.6591,-0.8796,6.5934
3.5876,3.4431,-3.3129
-7.3588,3.4313,-0.9596
10.3803,10.6749,-6.0861
-8.6485,-2.9424,0.904
5.981,9.7645,2.5833
7.7324,8.2608,-6.3124
4.3424,-5.5547,-3.8262
4.9568,1.1898,3.1538
6.083,4.524,3.8113
4.4774,2.9881,-2.2713
1.5863,-8.77,6.0902
1.8432,0.9765,-3.1403
-0.3776,-9.1585,0.085
8.8145,11.1775,-4.734
-3.4544,-2.945,8.5568
4.1739,2.6729,1.5569
8.8077,9.0985,-5.0942
4.6625,7.0476,-9.1473
3.3022,5.0314,-3.1402
-1.0299,-9.4694,-2.2016
-2.2762,-9.7923,-1.9091
5.8372,2.1173,-3.6553
5.9953,7.3094,3.5696
8.8976,9.1442,-6.1992
-6.3854,7.2841,-1.6247
3.0962,-3.8023,-5.2606
-3.1126,-2.2439,6.8521
-2.438,-9.7882,-0.2153
-9.1762,-4.9118,-0.4207
5.7851,7.3073,-11.7953
-3.1607,-2.3985,6.7786
-9.0083,-3.2416,1.4187
9.3131,10.3287,-6.005
-0.7226,-2.6385,8.3307
6.4795,3.5206,3.4278
2.7666,2.5747,-3.3379
-9.6784,-3.3727,0.4801
3.9573,1.1853,2.976
